Id,LotArea,OverallQual,1stFlrSF,GrLivArea,TotRmsAbvGrd,GarageCars,GarageArea,SalePrice
71,13651,7,2223,2223,8,2,516,244000
72,7599,4,845,845,4,2,360,129500
73,10141,7,885,1718,7,2,427,185000
74,10200,5,1086,1086,6,2,490,144900
75,5790,3,840,1605,8,1,379,107400
76,1596,4,526,988,5,1,297,91000
77,8475,4,952,952,4,1,283,135750
78,8635,5,1072,1285,6,1,240,127000
79,10778,4,1768,1768,8,0,0,136500
80,10440,5,682,1230,5,2,440,110000
81,13000,6,1182,2142,8,1,509,193500
82,4500,6,1337,1337,5,2,405,153500
83,10206,8,1563,1563,6,3,758,245000
84,8892,5,1065,1065,6,2,461,126500
85,8530,7,804,1474,7,2,400,168500
86,16059,8,1301,2417,9,2,462,260000
87,11911,6,684,1560,6,2,400,174000
88,3951,6,612,1224,4,2,528,164500
89,8470,3,1013,1526,6,0,0,85000
90,8070,4,990,990,5,0,0,123600
91,7200,4,1040,1040,4,2,420,109900
92,8500,5,1235,1235,6,2,480,98600
93,13360,5,964,964,5,2,432,163500
94,7200,6,1260,2291,9,2,506,133900
95,9337,6,905,1786,7,2,684,204750
96,9765,6,680,1470,6,2,420,185000
97,10264,7,1588,1588,6,2,472,214000
98,10921,4,960,960,6,1,432,94750
99,10625,5,835,835,5,1,366,83000
100,9320,4,1225,1225,6,0,0,128950
101,10603,6,1610,1610,6,2,480,205000
102,9206,6,977,1732,7,2,476,178000
103,7018,5,1535,1535,8,2,410,118964
104,10402,7,1226,1226,6,3,740,198900
105,7758,7,1226,1818,7,1,240,169500
106,9375,8,1053,1992,9,2,648,250000
107,10800,4,1047,1047,6,1,273,100000
108,6000,5,789,789,5,1,250,115000
109,8500,5,997,1517,7,0,0,115000
110,11751,6,1844,1844,7,2,546,190000
111,9525,6,1216,1855,7,1,325,136900
112,7750,7,774,1430,7,2,400,180000
113,9965,7,1282,2696,10,3,792,383970
114,21000,6,2259,2259,7,2,450,217000
115,7259,6,1436,2320,9,1,180,259500
116,3230,6,729,1458,5,2,440,176000
117,11616,5,1092,1092,6,1,288,139000
118,8536,5,1125,1125,5,2,430,155000
119,12376,7,1699,3222,11,3,594,320000
120,8461,6,728,1456,8,2,390,163990
121,21453,6,988,988,4,2,540,180000
122,6060,4,772,1123,4,1,264,100000
123,9464,6,1080,1080,5,1,288,136000
124,7892,6,1199,1199,5,2,530,153900
125,17043,6,1586,1586,7,2,435,181000
126,6780,6,520,754,5,0,0,84500
127,4928,6,958,958,5,2,440,128000
128,4388,5,840,840,5,0,0,87000
129,7590,6,660,1348,6,2,453,155000
130,8973,5,1053,1053,6,2,750,150000
131,14200,7,1216,2157,8,2,487,226000
132,12224,6,1022,2054,7,2,390,244000
133,7388,5,1327,1327,7,2,624,150750
134,6853,8,1296,1296,6,2,471,220000
135,10335,5,1721,1721,7,2,440,180000
136,10400,7,1682,1682,7,2,530,174000
137,10355,5,1214,1214,5,1,318,143000
138,11070,7,1959,1959,9,3,766,171000
139,9066,8,1004,1852,7,3,660,230000
140,15426,6,928,1764,7,2,470,231500
141,10500,4,864,864,5,0,0,115000
142,11645,7,1734,1734,7,2,660,260000
143,8520,5,910,1385,6,2,720,166000
144,10335,7,1501,1501,6,2,577,204000
145,9100,5,1728,1728,10,2,504,125000
146,2522,6,970,1709,7,2,380,130000
147,6120,5,875,875,5,1,180,105000
148,9505,7,884,2035,8,2,434,222500
149,7500,7,1080,1080,6,0,0,141000
150,6240,5,896,1344,7,1,240,115000
151,10356,5,969,969,5,2,440,122000
152,13891,8,1710,1710,6,3,866,372402
153,14803,6,1097,1993,8,2,495,190000
154,13500,6,1252,1252,4,2,564,235000
155,11340,6,1200,1200,7,1,312,125000
156,9600,6,572,1096,5,0,0,79000
157,7200,5,1040,1040,5,2,625,109500
158,12003,8,774,1968,8,3,680,269500
159,12552,7,991,1947,8,2,678,254900
160,19378,7,1392,2462,9,2,576,320000
161,11120,6,1232,1232,6,2,516,162500
162,13688,9,1572,2668,10,3,726,412500
163,12182,7,1541,1541,7,2,532,220000
164,5500,4,882,882,4,0,0,103200
165,5400,6,1149,1616,5,1,216,152000
166,10106,5,808,1355,6,0,0,127500
167,10708,5,1867,1867,7,1,303,190000
168,10562,8,1610,2161,8,3,789,325624
169,8244,7,840,1720,7,2,440,183500
170,16669,8,1707,1707,6,2,511,228000
171,12358,5,854,1382,7,2,660,128500
172,31770,6,1656,1656,7,2,528,215000
173,5306,7,1064,1767,5,2,504,239000
174,10197,6,1362,1362,6,2,504,163000
175,12416,6,1651,1651,7,2,616,184000
176,12615,6,2158,2158,7,2,576,243000
177,10029,6,1164,2060,8,2,521,211000
178,13650,5,1252,1920,8,2,451,172500
179,17423,9,2234,2234,9,3,1166,501837
180,8520,5,968,968,5,2,480,100000
181,2117,6,769,1525,5,2,440,177000
182,7588,7,901,1802,9,1,216,200100
183,9060,5,1340,1340,7,1,252,120000
184,11426,7,1362,2082,6,2,484,200000
185,7438,5,936,1252,5,2,576,127000
186,22950,10,1518,3608,12,3,840,475000
187,9947,7,1217,1217,6,2,497,173000
188,10410,5,808,1656,8,1,180,135000
189,7018,5,1224,1224,6,2,528,153337
190,4923,8,1593,1593,5,2,682,286000
191,10570,8,1549,2727,10,2,440,315000
192,7472,7,725,1479,7,2,484,184000
193,9017,7,1431,1431,6,2,666,192000
194,2522,7,970,1709,7,2,380,130000
195,7180,5,864,864,5,1,352,127000
196,2280,6,855,1456,7,2,440,148500
197,9416,7,1726,1726,8,3,786,311872
198,25419,8,1360,3112,8,2,795,235000
199,5520,6,929,2229,8,0,0,104000
200,9591,8,1713,1713,7,3,856,274900
201,8546,4,1121,1121,5,2,440,140000
202,10125,6,1279,1279,6,2,473,171500
203,7000,6,865,1310,6,1,398,112000
204,4438,6,848,848,3,2,420,149000
205,3500,5,720,1284,5,1,240,110000
206,11851,7,1442,1442,5,2,500,180500
207,13673,5,1696,1696,8,1,349,143900
208,12493,4,1100,1100,6,1,312,141000
209,14364,7,1180,2062,7,2,454,277000
210,8250,6,1092,1092,6,2,504,145000
211,5604,5,864,864,5,0,0,98000
212,10420,6,1212,1212,6,2,460,186000
213,8640,7,932,1852,7,2,644,252678
214,13568,5,990,990,5,2,576,156000
215,10900,6,689,1392,6,1,299,161750
216,10011,5,1236,1236,6,1,447,134450
217,8450,7,1436,1436,8,2,484,210000
218,9906,4,810,1328,8,1,210,107000
219,15660,7,1137,1954,8,2,431,311500
220,3010,7,1248,1248,5,2,438,167240
221,8990,7,1498,1498,5,2,675,204900
222,8068,6,1010,2267,8,2,390,200000
223,11475,6,811,1552,6,2,434,179900
224,10500,4,864,864,4,2,576,97000
225,13472,10,2392,2392,8,3,968,386250
226,1680,5,630,1302,6,1,280,112000
227,9950,7,1214,2520,9,3,721,290000
228,1869,6,483,987,5,1,280,106000
229,8521,5,912,912,5,1,336,125000
230,3182,7,1555,1555,7,2,430,192500
231,8760,6,1194,1194,6,1,312,148000
232,15138,8,1490,2794,9,3,810,403000
233,1680,6,483,987,5,1,288,94500
234,10650,5,894,894,5,1,308,128200
235,7851,6,860,1960,8,2,440,216500
236,1680,6,483,987,5,1,264,89500
237,8773,7,1414,1414,6,2,494,185500
238,9453,7,1014,1744,7,2,457,194500
239,12030,8,1694,1694,7,3,818,318000
240,8741,6,798,1487,7,1,220,113000
241,9000,8,1566,1566,7,2,750,262500
242,3880,5,866,866,4,0,0,110500
243,5000,5,889,1440,6,1,352,79000
244,10762,6,626,1217,6,1,288,120000
245,8880,7,1222,2110,8,2,463,205000
246,10400,7,1872,1872,6,2,604,241500
247,9142,6,908,1928,9,1,440,137000
248,11310,6,1375,1375,5,2,451,140000
249,11317,7,840,1668,8,2,500,180000
250,159000,6,1444,2144,7,2,389,277000
251,5350,3,1306,1306,6,0,0,76500
252,4750,8,1625,1625,5,2,538,235000
253,8366,6,798,1640,6,2,520,173000
254,9350,6,1302,1302,7,1,309,158000
255,8400,5,1314,1314,5,1,294,145000
256,8738,7,1005,2291,8,2,429,230000
257,8791,6,864,1728,7,2,673,207500
258,8814,7,1604,1604,8,2,660,220000
259,12435,7,963,1792,7,2,564,231500
260,12702,5,882,882,4,1,308,97000
261,19296,6,1382,1382,6,2,884,176000
262,9588,8,1482,2574,10,3,868,276000
263,8471,6,1212,1212,6,2,492,151000
264,5500,5,926,1316,6,2,484,130000
265,5232,5,764,764,4,2,504,73000
266,12090,6,1422,1422,7,2,576,175500
267,11207,6,802,1511,8,2,413,185000
268,8400,5,1052,2192,8,1,240,179500
269,6900,5,778,778,4,1,924,120500
270,7917,6,1113,1113,6,1,504,148000
271,10728,8,1095,1939,8,3,1053,266000
272,39104,7,1363,1363,5,2,439,241500
273,11764,8,1164,2270,9,3,671,290000
274,9600,6,1632,1632,6,1,338,139000
275,8314,5,816,816,5,1,264,124500
276,7264,7,952,1548,5,2,672,205000
277,9196,7,1560,1560,7,2,573,201000
278,19138,4,864,864,4,2,400,141000
279,14450,9,2121,2121,8,3,732,415298
280,10005,7,1156,2022,8,2,505,192000
281,11287,7,1175,1982,7,2,575,228500
282,7200,6,1262,1262,5,2,572,185000
283,5063,7,1314,1314,6,2,626,207500
284,9612,8,1468,1468,6,3,898,244600
285,8012,6,1575,1575,5,2,529,179200
286,4251,7,625,1250,5,2,528,164700
287,9786,6,1085,1734,7,2,440,159000
288,8125,4,858,858,5,0,0,88000
289,9819,5,900,900,5,1,280,122000
290,8730,6,698,1396,7,1,384,153575
291,15611,8,1079,1919,8,2,685,233230
292,5687,5,936,1716,9,0,0,135900
293,11409,5,1148,1716,8,1,281,131000
294,16659,7,1468,2263,9,2,539,235000
295,9600,6,1644,1644,7,2,418,167000
296,7937,6,1003,1003,6,2,588,142500
297,13710,5,910,1558,6,1,282,152000
298,7399,7,975,1950,7,2,576,239000
299,11700,6,1041,1743,7,2,539,175000
300,14000,6,1152,1152,6,1,300,158500
301,15750,5,1336,1336,5,1,375,157000
302,16226,8,1210,2452,9,2,683,267000
303,13704,7,1541,1541,6,3,843,205000
304,9800,5,894,894,5,2,552,149900
305,18386,7,1675,3493,10,3,870,295000
306,10386,8,2000,2000,8,3,888,305900
307,13474,7,1122,2243,8,3,746,225000
308,7920,6,1035,1406,6,0,0,89500
309,12342,4,861,861,4,2,539,82500
310,12378,9,1944,1944,8,3,708,360000
311,7685,6,697,1501,6,2,420,165600
312,8000,6,972,972,5,1,240,132000
313,7800,5,793,1118,5,2,410,119900
314,215245,7,2036,2036,8,2,513,375000
315,9600,7,832,1641,6,2,546,178000
316,7795,7,716,1432,6,2,432,188500
317,13005,7,1153,2353,10,2,484,260000
318,9000,8,1088,1959,8,3,1025,270000
319,9900,7,1372,2646,9,3,656,260000
320,14115,7,1472,1472,6,2,588,187500
321,16259,9,1249,2596,9,3,840,342643
322,12099,8,1136,2468,10,3,872,354000
323,10380,7,1553,2730,8,2,576,301000
324,5820,3,1163,1163,6,1,220,126175
325,11275,7,1898,2978,11,2,564,242000
326,5000,5,803,803,5,2,360,87000
327,10846,8,1719,1719,6,2,473,324000
328,11600,6,1383,1383,7,1,292,145250
329,11888,6,1445,2134,10,2,441,214500
330,6402,5,596,1192,6,1,189,78000
331,10624,5,1728,1728,10,1,352,119000
332,8176,5,1056,1056,6,1,308,139000
333,10655,8,1629,1629,7,3,880,284000
334,8198,7,1358,1358,6,2,484,207000
335,9042,6,943,1638,7,2,472,192000
336,164660,5,1619,1786,7,2,529,228950
337,14157,9,1922,1922,8,3,676,377426
338,9135,7,1536,1536,7,2,532,214000
339,14145,7,1621,1621,8,2,440,202500
340,12400,6,1215,1215,6,1,297,155000
341,14191,8,993,1908,9,2,431,202900
342,8400,4,841,841,4,1,294,82000
343,8544,3,1040,1040,6,2,400,87500
344,8849,9,1684,1684,6,2,564,266000
345,2592,5,536,1112,4,1,336,85000
346,6435,6,972,1577,6,1,312,140200
347,12772,6,958,958,5,1,301,151500
348,17600,6,1478,1478,6,2,498,157500
349,2448,7,764,1626,6,2,474,154000
350,20431,9,1848,2728,10,3,706,437154
351,7820,9,1869,1869,6,2,617,318061
352,5271,7,1453,1453,6,2,445,190000
353,9084,5,616,1111,5,1,200,95000
354,8520,6,720,720,5,2,484,105900
355,8400,6,1192,1595,6,1,240,140000
356,11249,6,1200,1200,6,2,521,177500
357,9248,6,1167,1167,6,2,400,173000
358,4224,5,1142,1142,6,2,528,134000
359,6930,5,1352,1352,6,1,288,130000
360,12011,8,1086,1924,7,2,592,280000
361,7540,6,912,912,5,2,470,156000
362,9144,5,988,1505,8,1,240,145000
363,7301,7,495,1922,7,2,672,198500
364,1680,6,483,987,5,1,264,118000
365,18800,6,790,1574,6,2,566,190000
366,10690,5,672,1344,6,1,468,147000
367,9500,6,1394,1394,6,2,514,159000
368,9150,6,1431,1431,6,1,296,165000
369,7800,5,1268,1268,7,1,244,132000
370,9830,5,1287,1287,7,2,576,162000
371,8121,6,953,1664,7,2,460,172400
372,17120,4,1120,1588,7,2,680,134432
373,7175,6,752,752,4,1,264,125000
374,10634,5,1319,1319,5,1,270,123000
375,8200,7,847,1928,8,2,434,219500
376,10020,1,904,904,4,0,0,61000
377,8846,5,914,914,5,2,576,148000
378,11143,8,1580,2466,8,2,610,340000
379,11394,9,1856,1856,8,3,834,394432
380,8123,6,1007,1800,7,2,463,179000
381,5000,5,1026,1691,6,1,308,127000
382,7200,7,1301,1301,5,2,572,187750
383,9245,7,939,1797,8,2,639,213500
384,9000,6,784,784,5,2,360,76000
385,53107,6,1079,1953,9,2,501,240000
386,3182,8,1269,1269,6,2,430,192000
387,8410,5,658,1184,8,0,0,81000
388,7200,6,1125,1125,6,1,352,125000
389,9382,7,1479,1479,6,2,577,191000
390,12474,10,1742,2332,9,3,846,426000
391,8405,5,961,1367,7,1,384,119000
392,12209,6,804,1961,7,2,560,215000
393,8339,5,882,882,5,1,294,106500
394,7446,4,788,788,4,0,0,100000
395,10134,5,735,1034,5,1,240,109000
396,9571,5,1144,1144,6,1,596,129000
397,7200,5,894,894,6,2,600,123000
398,7590,5,876,1812,8,1,264,169500
399,8967,5,1077,1077,6,1,338,67000
400,8125,7,1112,1550,7,2,438,241000
401,14963,8,1288,1288,4,2,500,245500
402,8767,7,1310,1310,6,2,400,164990
403,10200,5,672,672,4,1,240,108000
404,12090,8,1165,2263,10,2,420,258000
405,10364,6,806,1572,7,2,373,168000
406,9991,4,1620,1620,8,2,490,150000
407,10480,6,1166,1639,6,1,240,115000
408,15576,6,840,1680,8,1,308,177000
409,14154,7,1071,2172,9,3,947,280000
410,10800,8,1050,2078,8,3,836,339750
411,9571,5,1276,1276,5,1,350,60000
412,34650,5,1056,1056,5,2,572,145000
413,4403,7,1478,1478,7,2,484,222000
414,8960,5,1028,1028,5,2,360,115000
415,11228,7,1080,2097,9,3,678,228000
416,8899,7,1340,1340,6,2,396,181134
417,7844,6,672,1400,6,2,440,149500
418,22420,6,1370,2624,10,3,864,239000
419,8160,5,756,1134,7,1,240,126000
420,8450,5,1056,1056,6,1,304,142000
421,7060,7,1344,1344,8,4,784,206300
422,16635,6,1602,1602,8,2,529,215000
423,21750,5,988,988,4,2,520,113000
424,9200,8,1470,2630,8,3,696,315000
425,9000,6,1196,1196,6,1,297,139000
426,3378,7,707,1389,6,1,240,135000
427,12800,7,1644,1644,5,2,569,275000
428,8593,4,907,907,5,1,352,109008
429,6762,7,1208,1208,6,2,628,195400
430,11457,6,1412,1412,6,2,576,175000
431,1680,6,483,987,4,1,264,85400
432,5586,6,1088,1198,7,0,0,79900
433,1920,5,765,1365,6,2,440,122500
434,10839,6,926,1604,7,2,470,181000
435,1890,4,630,630,3,0,0,81000
436,10667,7,827,1661,6,2,550,212000
437,4400,6,734,1118,6,2,440,116000
438,6000,6,904,904,4,1,180,119000
439,4280,5,694,694,4,1,352,90350
440,12354,6,684,1196,7,2,528,110000
441,15431,10,2402,2402,10,3,672,555000
442,12108,4,1440,1440,8,0,0,118000
443,6240,5,1128,1573,8,2,360,162900
444,3922,7,1258,1258,6,3,648,172500
445,8750,7,933,1908,8,2,493,210000
446,9855,6,1689,1689,7,2,480,127500
447,16492,6,1888,1888,6,2,578,190000
448,11214,7,956,1886,10,2,431,199900
449,8600,6,780,1376,7,1,198,119500
450,6000,3,679,1183,6,1,308,120000
451,5684,6,813,813,5,1,270,110000
452,70761,7,1533,1533,5,2,576,280000
453,9303,6,888,1756,7,2,422,204000
454,9000,8,786,1590,6,2,676,210000
455,9297,5,1728,1728,8,2,560,188000
456,9600,7,1242,1242,6,2,528,175500
457,4571,5,624,1344,7,3,513,98000
458,53227,4,1663,1663,6,2,529,256000
459,5100,8,833,1666,7,1,228,161000
460,7015,5,979,1203,5,1,352,110000
461,8004,8,832,1935,8,2,552,263435
462,7200,7,575,1135,6,2,576,155000
463,8281,5,864,864,5,1,360,62383
464,11988,6,849,1660,6,1,240,188700
465,8430,5,1040,1040,5,0,0,124000
466,3072,7,1414,1414,6,2,398,178740
467,10628,7,1277,1277,5,2,526,167000
468,9480,5,888,1644,7,1,312,146500
469,11428,8,1634,1634,7,3,866,250000
470,9291,6,832,1710,7,2,506,187000
471,6820,8,1502,1502,4,2,528,212000
472,11952,7,1161,1969,8,2,534,190000
473,3675,6,1072,1072,5,2,525,148000
474,14977,8,1976,1976,7,3,908,440000
475,5330,8,1652,1652,6,2,499,251000
476,8480,5,970,970,5,2,624,132500
477,13125,6,1493,1493,7,2,508,208900
478,13693,9,2069,2643,9,3,694,380000
479,10637,8,1718,1718,7,3,826,297000
480,5925,4,1131,1131,7,2,672,89471
481,16033,9,1850,1850,8,3,772,326000
482,11846,9,1792,1792,6,3,874,374000
483,2500,7,916,1826,7,1,164,155000
484,4500,6,1216,1216,5,2,402,164000
485,7758,5,999,999,6,1,264,132500
486,9600,5,1113,1113,5,1,264,147000
487,10289,5,1073,1073,6,2,515,156000
488,12243,5,1484,1484,7,2,487,175000
489,10800,5,1766,2414,10,2,520,160000
490,1526,4,630,630,3,1,286,86000
491,2665,5,616,1304,4,1,336,115000
492,9490,6,958,1578,5,1,240,133000
493,15578,6,728,1456,8,2,429,172785
494,7931,5,1269,1269,6,1,308,155000
495,5784,5,886,886,4,1,273,91300
496,7879,4,720,720,4,0,0,34900
497,12692,8,3228,3228,10,2,546,430000
498,9120,7,1133,1820,8,1,240,184000
499,7800,5,899,899,5,1,288,130000
500,7535,5,912,912,5,1,297,120000
501,1890,6,672,1218,7,1,264,113000
502,9803,7,866,1768,7,2,603,226700
503,9170,5,1214,1214,6,2,461,140000
504,15602,7,1801,1801,6,2,484,289000
505,2308,6,855,1322,6,2,440,147000
506,7596,5,960,1960,10,2,400,124500
507,9554,8,1065,1911,8,2,471,215000
508,7862,6,1218,1218,4,2,676,208300
509,9600,7,689,1378,7,2,360,161000
510,9600,5,1041,1041,6,1,270,124500
511,14559,5,1363,1363,6,1,288,164900
512,6792,7,1368,1368,6,2,474,202665
513,9100,5,864,864,5,2,624,129900
514,9187,6,1080,1080,5,2,484,134000
515,10594,5,789,789,5,1,200,96500
516,12220,10,2020,2020,9,3,900,402861
517,10448,6,1378,2119,7,2,583,158000
518,10208,7,1277,2344,7,3,889,265000
519,9531,6,882,1796,7,2,546,211000
520,10918,7,1276,2080,9,1,282,234000
521,10800,4,694,1294,7,0,0,106250
522,11988,6,1244,1244,6,1,336,150000
523,5000,6,1004,1664,7,2,420,159000
524,40094,10,3138,4676,11,3,884,184750
525,11787,7,1383,2398,8,3,834,315750
526,7500,7,1266,1266,6,2,453,176000
527,13300,5,928,928,4,1,252,132000
528,14948,9,1476,2713,11,3,858,446261
529,9098,4,605,605,5,0,0,86000
530,32668,6,2515,2515,9,2,484,200624
531,10200,6,1509,1509,5,2,600,175000
532,6155,6,751,1362,6,2,502,128000
533,7200,5,827,827,5,1,392,107500
534,5000,1,334,334,2,0,0,39300
535,9056,8,707,1414,6,2,403,178000
536,7000,5,820,1347,5,0,0,107500
537,8924,7,880,1724,8,2,527,188000
538,12735,4,864,864,5,2,576,111250
539,11553,5,1159,1159,7,1,336,158000
540,11423,8,1601,1601,6,2,670,272000
541,14601,9,1838,1838,8,3,765,315000
542,11000,8,997,2285,8,3,648,248000
543,10140,7,1680,1680,7,2,583,213250
544,4058,7,767,767,4,1,367,133000
545,17104,7,664,1496,7,2,426,179665
546,13837,7,1377,2183,9,3,786,229000
547,8737,6,915,1635,6,2,440,210000
548,7244,5,768,768,5,2,624,129500
549,8235,5,825,825,4,2,720,125000
550,9375,7,912,2094,8,2,615,263000
551,4043,6,1069,1069,4,2,440,140000
552,6000,5,928,928,5,1,288,112500
553,11146,8,1717,1717,7,3,908,255500
554,8777,4,1126,1126,5,2,520,108000
555,10625,7,1006,2046,8,3,871,284000
556,6380,5,1048,1048,5,1,280,113000
557,14850,5,1092,1092,6,1,299,141000
558,11040,4,897,1336,7,1,570,108000
559,21872,7,729,1446,6,2,406,175000
560,3196,7,1557,1557,7,2,420,234000
561,11341,5,1392,1392,5,2,528,121500
562,10010,5,1389,1389,6,2,418,170000
563,13907,5,996,996,6,0,0,108000
564,21780,6,1163,1674,8,2,396,185000
565,13346,7,1166,2295,9,2,590,268000
566,6858,6,841,1647,6,1,216,128000
567,11198,9,1134,2504,11,3,656,325000
568,10171,7,1535,1535,7,2,532,214000
569,12327,8,1496,2132,5,2,612,316600
570,7032,5,943,943,4,2,600,135960
571,13101,5,1728,1728,10,2,576,142600
572,7332,6,864,864,4,1,288,120000
573,13159,7,846,1692,6,2,650,224500
574,9967,7,774,1430,8,2,400,170000
575,10500,5,576,1109,5,1,288,139000
576,8480,5,832,1216,6,1,336,118500
577,6292,7,877,1477,6,1,216,145000
578,11777,5,1320,1320,6,2,564,164500
579,3604,7,703,1392,5,2,540,146000
580,12150,5,1050,1795,7,1,352,131500
581,14585,6,1429,1429,7,2,572,181900
582,12704,8,2042,2042,8,3,1390,253293
583,11841,6,816,816,5,0,0,118500
584,13500,10,1521,2775,9,2,880,325000
585,6120,4,989,1573,6,1,240,133000
586,11443,8,2028,2028,7,3,880,369900
587,10267,6,838,838,5,1,275,130000
588,8740,5,860,860,4,2,528,137000
589,25095,5,1473,1473,5,1,452,143000
590,9100,5,779,935,4,1,308,79500
591,8320,7,770,1582,6,2,520,185900
592,13478,10,1728,2296,10,3,842,451950
593,6600,5,816,816,4,2,816,138000
594,4435,6,848,848,4,2,420,140000
595,7990,5,924,924,5,1,280,110000
596,11302,8,1826,1826,7,3,758,319000
597,3600,6,684,1368,7,1,216,114504
598,3922,7,1402,1402,7,3,648,194201
599,12984,5,1647,1647,7,2,621,217500
600,1950,6,716,1556,6,2,452,151000
601,10927,8,1058,1904,8,2,736,275000
602,9000,6,780,1375,6,1,544,141000
603,10041,8,927,1915,8,2,506,220000
604,3182,7,600,1200,4,2,480,151000
605,12803,7,1494,1494,6,2,530,221000
606,13600,7,1186,1986,7,2,486,205000
607,12464,5,1040,1040,6,2,576,152000
608,7800,5,1112,2008,8,1,230,225000
609,12168,8,1940,3194,10,2,380,359100
610,7943,4,1029,1029,5,1,261,118500
611,11050,9,1476,2153,8,3,736,313000
612,10395,6,1032,1032,6,2,564,148000
613,11885,8,1299,1872,7,2,531,261500
614,8402,5,1120,1120,6,0,0,147000
615,1491,4,630,630,3,0,0,75500
616,8800,6,1054,1054,6,2,480,137500
617,7861,6,807,1509,7,2,393,183200
618,7227,6,832,832,4,2,528,105500
619,11694,9,1828,1828,9,3,774,314813
620,12244,8,1482,2262,10,3,749,305000
621,8248,3,864,864,5,0,0,67000
622,10800,6,1548,2614,9,2,624,240000
623,7064,5,980,980,6,2,484,135000
624,2117,6,756,1512,4,2,440,168500
625,10400,6,1012,1790,8,2,484,165150
626,10000,6,1116,1116,5,2,440,160000
627,12342,5,1422,1422,6,1,286,139900
628,9600,6,1520,1520,7,1,364,153000
629,11606,5,1040,2080,9,2,504,135000
630,9020,6,1350,1350,6,2,520,168500
631,9000,5,1089,1750,8,1,240,124000
632,4590,8,1554,1554,6,2,627,209500
633,11900,7,1411,1411,6,2,544,82500
634,9250,5,1056,1056,6,1,260,139400
635,6979,6,1056,1056,4,2,576,144000
636,10896,6,1440,3395,14,0,0,200000
637,6120,2,800,800,4,0,0,60000
638,6000,5,811,1387,7,1,256,93000
639,8777,5,796,796,4,0,0,85000
640,3982,8,1567,1567,7,3,648,264561
641,12677,8,1518,1518,6,2,588,274000
642,7050,7,1057,1929,7,2,650,226000
643,13860,8,2000,2704,9,2,538,345000
644,10793,5,780,1620,7,2,462,152000
645,9187,9,1766,1766,7,3,478,370878
646,10530,6,981,981,5,2,576,143250
647,7200,5,1048,1048,7,2,420,98300
